rowid,idhspid,DHSID,mean_pn,num
54,85401         417  9,BF199300000004,0.2893770800192172,19
55,85401         417  9,BF199300000004,0.27867077150287894,19
56,85401         420  2,BF199300000004,0.306010898080011,19
57,85401         420  2,BF199300000004,0.31412303022548044,19
58,85401         420  5,BF199300000004,0.29110160621745945,19
59,85401         422  3,BF199300000004,0.30927233971313295,19
60,85401         425  2,BF199300000004,0.27863672956373764,19
61,85401         5 1  2,BF199300000005,0.2729821892858867,18
62,85401         5 2  2,BF199300000005,0.32398693534187883,19
63,85401         5 6  2,BF199300000005,0.25171190706172425,19
64,85401         5 6 10,BF199300000005,0.2528691301031227,19
65,85401         511  2,BF199300000005,0.2907063069495749,19
66,85401         511  2,BF199300000005,0.28402538176969433,19
67,85401         512  1,BF199300000005,0.2976736108384145,19
68,85401         517  3,BF199300000005,0.27269339439316265,19
69,85401         517 11,BF199300000005,0.34419881758068,18
70,85401         6 1 12,BF199300000006,0.2729821892858867,18
71,85401         6 7  2,BF199300000006,0.34602072529312755,18
72,85401         610  2,BF199300000006,0.3341629634418292,18
73,85401         612  2,BF199300000006,0.28155871501116664,19
74,85401         613  3,BF199300000006,0.32287383756128424,18
75,85401         614  5,BF199300000006,0.34419881758068,18
76,85401         7 1  2,BF199300000007,0.2729821892858867,18
77,85401         7 1  2,BF199300000007,0.29110160621745945,19
78,85401         7 2  2,BF199300000007,0.2775777533344477,19
79,85401         7 4  2,BF199300000007,0.3312325502185067,19
80,85401         7 4  5,BF199300000007,0.3394379843446192,18
81,85401         7 5  2,BF199300000007,0.2705025769205581,19
82,85401         7 6  6,BF199300000007,0.3194452409993005,19
83,85401         7 6 11,BF199300000007,0.28426494961712245,19
84,85401         7 8  2,BF199300000007,0.31701552814047207,19
85,85401         7 8  2,BF199300000007,0.33670559404307787,18
86,85401         7 9  2,BF199300000007,0.3230085100721361,19
87,85401         712  2,BF199300000007,0.31045074696682684,18
88,85401         712  2,BF199300000007,0.3454569734674068,18
89,85401         712 18,BF199300000007,0.32752258243646226,19
90,85401         712 18,BF199300000007,0.33670559404307787,18
91,85401         712 28,BF199300000007,0.32398693534187883,19
92,85401         8 2  2,BF199300000008,0.2893770800192172,19
93,85401         8 3  2,BF199300000008,0.30055371468727515,19
94,85401         8 4  1,BF199300000008,0.34419881758068,18
95,85401         8 5  2,BF199300000008,0.25171190706172425,19
96,85401         8 5  2,BF199300000008,0.33839992111573736,18
97,85401         8 6  2,BF199300000008,0.31449772355137323,19
98,85401         8 7  1,BF199300000008,0.29110160621745945,19
99,85401         8 8 13,BF199300000008,0.32974400863735565,19
100,85401         8 9  4,BF199300000008,0.2775777533344477,19
101,85401         811  2,BF199300000008,0.27867077150287894,19
102,85401         814  1,BF199300000008,0.28426494961712245,19
103,85401         9 1  4,BF199300000009,0.2705025769205581,19
104,85401         9 6  2,BF199300000009,0.32316162630932327,19
105,85401         9 6  8,BF199300000009,0.29110160621745945,19
106,85401         9 7  2,BF199300000009,0.30187510252666366,19
107,85401         9 7  2,BF199300000009,0.3473523238108701,18
108,85401         9 7  2,BF199300000009,0.34312214293026194,18
109,85401         9 9  2,BF199300000009,0.33670559404307787,18
110,85401         9 9  5,BF199300000009,0.25171190706172425,19
111,85401         9 9  5,BF199300000009,0.34312214293026194,18
112,85401         913  2,BF199300000009,0.2907063069495749,19
113,85401         913  2,BF199300000009,0.27863672956373764,19
114,85401         913  2,BF199300000009,0.30927233971313295,19
115,85401         913  2,BF199300000009,0.2705025769205581,19
116,85401         918  2,BF199300000009,0.2775777533344477,19
117,85401         920  2,BF199300000009,0.34602072529312755,18
118,85401        10 6  1,BF199300000010,0.31412303022548044,19
119,85401        10 2  1,BF199300000010,0.3312325502185067,19
120,85401        10 7  6,BF199300000010,0.3366106014447054,19
121,85401        10 5  3,BF199300000010,0.29753553784673287,18
122,85401        1013  2,BF199300000010,0.31412303022548044,19
123,85401        11 8  2,BF199300000011,0.32752258243646226,19
124,85401        1112  1,BF199300000011,0.3386201749797221,18
125,85401        1112  1,BF199300000011,0.29753553784673287,18
126,85401        1114  2,BF199300000011,0.32316162630932327,19
127,85401        1120  2,BF199300000011,0.3151885785421092,19
128,85401        12 1  4,BF199300000012,0.34068428452956495,19
129,85401        12 1  4,BF199300000012,0.33670559404307787,18
130,85401        12 3  2,BF199300000012,0.3293339643448333,18
131,85401        12 8  1,BF199300000012,0.2893770800192172,19
132,85401        12 8 11,BF199300000012,0.34602072529312755,18
133,85401        1210  2,BF199300000012,0.3341629634418292,18
134,85401        1210  2,BF199300000012,0.29615035381010996,19
135,85401        1214  2,BF199300000012,0.3188285192187574,19
136,85401        1215  2,BF199300000012,0.32752258243646226,19
137,85401        1220  4,BF199300000012,0.32974400863735565,19
138,85401        1220  5,BF199300000012,0.31412303022548044,19
139,85401        1221  2,BF199300000012,0.30927233971313295,19
140,85401        12 5  2,BF199300000012,0.2907063069495749,19
141,85401        12 5  2,BF199300000012,0.29753553784673287,18
142,85401        13 2 18,BF199300000013,0.31045074696682684,18
143,85401        13 2 18,BF199300000013,0.32316162630932327,19
144,85401        13 2 18,BF199300000013,0.2705025769205581,19
145,85401        13 4  2,BF199300000013,0.32974400863735565,19
146,85401        13 4  2,BF199300000013,0.3230085100721361,19
147,85401        13 5  2,BF199300000013,0.3319638684942634,19
148,85401        13 6  2,BF199300000013,0.34068428452956495,19
149,85401        13 6  6,BF199300000013,0.3194452409993005,19
150,85401        13 6 10,BF199300000013,0.33922687143651026,18
151,85401        13 6 10,BF199300000013,0.2801678982587304,19
152,85401        13 9  2,BF199300000013,0.3341629634418292,18
153,85401        1310  2,BF199300000013,0.3319638684942634,19
154,85401        1311  2,BF199300000013,0.2992708456821075,19
155,85401        1311  2,BF199300000013,0.31412303022548044,19
156,85401        1313  3,BF199300000013,0.2995935801673888,19
157,85401        1314  2,BF199300000013,0.28155871501116664,19
158,85401        1314  2,BF199300000013,0.3194452409993005,19
159,85401        1315  8,BF199300000013,0.30055371468727515,19
160,85401        1316  3,BF199300000013,0.34068428452956495,19
161,85401        1317  2,BF199300000013,0.3394379843446192,18
162,85401        1319  2,BF199300000013,0.3194452409993005,19
163,85401        14 1  3,BF199300000014,0.306010898080011,19
164,85401        14 2  2,BF199300000014,0.33839992111573736,18
165,85401        14 2  2,BF199300000014,0.33839992111573736,18
166,85401        14 5  2,BF199300000014,0.30187510252666366,19
167,85401        14 5  2,BF199300000014,0.30187510252666366,19
168,85401        14 6  2,BF199300000014,0.30927233971313295,19
169,85401        14 6  5,BF199300000014,0.3408218297223767,18
