ID,idhspid,dhsid,mean_pn,num
226,85401        21 4  4,BF199300000021,60.47422222222222,9
227,85401        21 5  2,BF199300000021,84.12788888888889,9
228,85401        21 5  2,BF199300000021,2.4852499999999997,4
229,85401        21 8  2,BF199300000021,71.08911111111111,9
230,85401        2110  1,BF199300000021,39.6695,8
231,85401        2112  2,BF199300000021,63.531666666666666,9
232,85401        22 3  3,BF199300000022,15.095777777777778,9
233,85401        22 3  3,BF199300000022,84.43411111111111,9
234,85401        22 7  4,BF199300000022,69.70911111111111,9
235,85401        22 9  3,BF199300000022,80.58377777777777,9
236,85401        2210  2,BF199300000022,72.13555555555556,9
237,85401        2211  6,BF199300000022,71.10811111111111,9
239,85401        2212  2,BF199300000022,54.32866666666666,9
240,85401        2212  2,BF199300000022,84.43411111111111,9
241,85401        2213  2,BF199300000022,75.23344444444444,9
242,85401        2218  2,BF199300000022,38.806555555555555,9
243,85401        2220  2,BF199300000022,42.792,9
244,85401        2220  2,BF199300000022,85.27833333333334,9
245,85401        2221  2,BF199300000022,42.792,9
246,85401        2222  2,BF199300000022,24.194444444444446,9
247,85401        2222  2,BF199300000022,3.099,5
248,85401        23 3  8,BF199300000023,82.79833333333333,9
249,85401        23 3  8,BF199300000023,3.099,5
250,85401        23 4  2,BF199300000023,42.792,9
251,85401        23 4  2,BF199300000023,69.70911111111111,9
252,85401        23 5  2,BF199300000023,69.17099999999999,9
253,85401        23 6  2,BF199300000023,38.75277777777777,9
254,85401        23 6  2,BF199300000023,38.75277777777777,9
255,85401        23 6  8,BF199300000023,89.19288888888889,9
256,85401        23 8  2,BF199300000023,69.70911111111111,9
257,85401        23 9  2,BF199300000023,58.471888888888884,9
258,85401        2311  2,BF199300000023,39.70144444444445,9
259,85401        2311  9,BF199300000023,84.12788888888889,9
260,85401        2312  2,BF199300000023,70.90377777777778,9
261,85401        2312  6,BF199300000023,50.32888888888889,9
262,85401        24 1  2,BF199300000024,69.70911111111111,9
263,85401        24 1  7,BF199300000024,69.70911111111111,9
264,85401        24 2  2,BF199300000024,15.095777777777778,9
265,85401        24 2  2,BF199300000024,0.603,1
266,85401        24 3  2,BF199300000024,76.56222222222222,9
267,85401        24 4  2,BF199300000024,54.32866666666666,9
268,85401        24 5  2,BF199300000024,82.79833333333333,9
269,85401        24 7  2,BF199300000024,80.58377777777777,9
270,85401        24 7  3,BF199300000024,0.4886666666666667,3
271,85401        24 9  2,BF199300000024,70.90377777777778,9
272,85401        2410  2,BF199300000024,82.79833333333333,9
273,85401        2410  2,BF199300000024,83.82333333333334,9
274,85401        2410  8,BF199300000024,84.12788888888889,9
275,85401        2410  8,BF199300000024,85.29888888888888,9
276,85401        2412  4,BF199300000024,52.37544444444444,9
277,85401        2413  2,BF199300000024,54.32866666666666,9
278,85401        2413  2,BF199300000024,85.27833333333334,9
279,85401        2413  3,BF199300000024,70.90377777777778,9
280,85401        2415  2,BF199300000024,76.56222222222222,9
281,85401        2415  2,BF199300000024,69.70911111111111,9
282,85401        2416  2,BF199300000024,21.945555555555558,9
283,85401        2417  2,BF199300000024,50.32888888888889,9
284,85401        2419  2,BF199300000024,89.20611111111111,9
285,85401        2421  2,BF199300000024,69.70911111111111,9
286,85401        2418  2,BF199300000024,69.17099999999999,9
287,85401        25 2  2,BF199300000025,84.94288888888889,9
288,85401        25 2  2,BF199300000025,81.19611111111111,9
289,85401        25 7  7,BF199300000025,69.70911111111111,9
290,85401        25 8  2,BF199300000025,85.29888888888888,9
291,85401        25 9  2,BF199300000025,83.68133333333333,9
292,85401        2511  2,BF199300000025,89.20611111111111,9
294,85401        2514  2,BF199300000025,84.03166666666667,9
295,85401        2515  2,BF199300000025,50.20177777777778,9
296,85401        2515  9,BF199300000025,84.43411111111111,9
297,85401        2516  2,BF199300000025,50.32888888888889,9
298,85401        2523  2,BF199300000025,39.70144444444445,9
299,85401        2523  2,BF199300000025,84.43411111111111,9
300,85401        2530  2,BF199300000025,50.20177777777778,9
301,85401        2533  2,BF199300000025,68.80033333333333,9
302,85401        2534  2,BF199300000025,37.11277777777778,9
303,85401        2534  2,BF199300000025,39.6695,8
304,85401        2535  2,BF199300000025,75.23344444444444,9
305,85401        2536  2,BF199300000025,71.10811111111111,9
306,85401        2537  2,BF199300000025,59.64422222222222,9
307,85401        2537  2,BF199300000025,0.603,1
308,85401        2538  8,BF199300000025,15.095777777777778,9
309,85401        2539  5,BF199300000025,58.471888888888884,9
311,85401        2541  2,BF199300000025,47.18377777777778,9
312,85401        2541  2,BF199300000025,3.099,5
313,85401        2542  2,BF199300000025,39.70144444444445,9
315,85401        26 2  2,BF199300000026,37.13077777777778,9
316,85401        26 5  2,BF199300000026,50.20177777777778,9
317,85401        26 9  2,BF199300000026,52.37544444444444,9
318,85401        2611  2,BF199300000026,38.806555555555555,9
319,85401        2614  2,BF199300000026,17.694714285714287,7
320,85401        2615  2,BF199300000026,0.4886666666666667,3
322,85401        2619  2,BF199300000026,38.806555555555555,9
323,85401        2623  7,BF199300000026,21.945555555555558,9
324,85401        2624  1,BF199300000026,81.19611111111111,9
325,85401        2628  2,BF199300000026,82.79833333333333,9
326,85401        2636  2,BF199300000026,52.37544444444444,9
327,85401        2637  2,BF199300000026,50.32888888888889,9
328,85401        2637  2,BF199300000026,2.4852499999999997,4
